text,true_label,predicted_label,is_correct,prob_non_hate,prob_hate
توفيق والشعب معاك يا ربراب,0,1,0,0.499521,0.500479
حسبتونا مهابيل تهدرو على رواحكم ما تسمعوش هدرتنا الله يلعنكم يلعن كل موضف في جيزي الله يلعن كل خاين سارق انتهازي فيكم,1,0,0,0.518192,0.481808
tsema lil ga3 ou hia tahra9 fik ou nedt sbah khredjtelna be istintaj ta manach habsine bel bayd 😅,1,0,0,0.507527,0.492473
اطليقو سراح ربراب,0,1,0,0.499883,0.500117
نيك مو لي يسمع هاذ لعفن ونيك مو لي يكومونتي نيك مو لي يستغفر يسمع الغنا نقوشه وقحاب كيما راكم كامل,1,0,0,0.507515,0.492485
واله اعطيني وجهك نقابل بيهتبدلو كي التاته,1,0,0,0.516948,0.483052
نعلم انك حثاله السلاله سلاله زيط زيط زيط زيط,1,0,0,0.509745,0.490255
فريت اوملات بالبيض اه يا طبي 🙄😅,1,0,0,0.515675,0.484325
ومشاكل الحدود مع المروك ثاني راهم غير ينومو فالشعوب جيش الجزائر وجيش المروك خاوه خاوه وعلى شعبهم طايحين بالهراوه 🤣,0,1,0,0.493134,0.506866
ربي يحفظك استاذنا ويستر بلادنا واولادها من كل شر والمجد والخلود لشهداءنا الابرار,1,0,0,0.5076,0.4924
3ar abi ki rak haka ana nqolek tahia israël 🇮🇱 tahia tmazgha ♓😂,1,0,0,0.501212,0.498788
ونتا ماكش باغي ولا كفاه راح يديوها من خزنه تاع بباك نتا بعت عمرك كيفو يا كرفه كرف غير لبلاق,1,0,0,0.516767,0.483233
احذيه ربراب يظنون انهم فوق العداله مخلوقات عديمه الشرف تدافع عن لص كان يبيع لها السكر باضعاف سعره,1,0,0,0.506909,0.493091
مالا جيبلنا ختك تفرحناا,1,0,0,0.517831,0.482169
خامجه فوحه,1,0,0,0.502262,0.497738
اه يا شياتين يا عبيذ ربراب تخموا على انفسكم وما تخموش على الشعب الرزق او بيذ ربي وسوارذ لسرقها من البنوك الجزاءريه راح ذار بيها مشاريع عنذ ماماه فرنسا سوارذ الزوالوله او لذار اخلص,1,0,0,0.512043,0.487957
الاحرار في كل مكان او متخافش عليهم,0,1,0,0.496697,0.503303
نسرق الفرماج من كنت صغيره امشي قودي يا كرفه خساره الكاسكيطه لي فوق راسك ولعلام لي مورا ظهرك يا,1,0,0,0.517054,0.482946
wach dekhel matob fi ha chi ayaghyoul ue3ni aghyoul akhirik enta tehan blekwaght,1,0,0,0.515565,0.484435
ولد عباس تبانلي قريب يخرج,0,1,0,0.494712,0.505288
نتا باين تبع ماميدو صبوحه نقوشه هادوك درت هاد لميم,1,0,0,0.513943,0.486057
لفاندوفسكي برجلو مركا خمسه في خمس دقايق وهادو 12 دقيقه ممركاوش 😞,0,1,0,0.498032,0.501968
بمقابل,0,1,0,0.483803,0.516197
روح نيك اختك,1,0,0,0.515976,0.484024
روح يا اويحى يا الحيوان كل الياهورت غير انت اولادك,1,0,0,0.522301,0.477699
يستهل انسان صادق,0,1,0,0.495937,0.504063
اوك ميرسي,0,1,0,0.492423,0.507577
wallah ma andek 3lamn tahachmi zayla,1,0,0,0.520598,0.479402
مضغووط يا ربك 💦,1,0,0,0.510735,0.489265
مزالك تهدر عيش سكتنا شويا,1,0,0,0.502219,0.497781
فريت اوملات بالبيض 😁,0,1,0,0.49179,0.50821
وعلاه يندمو كاسيميرو جابو بيه دوري الابطال ويجيب بدراهم برناردو سيلفا المهم الدراهم داخله خارجه ما,0,1,0,0.495021,0.504979
nikk,1,0,0,0.502667,0.497333
استخبارات امريكا تحذر ام تحظر لانه المعروف الاستخبارات تحظر لكوارث تبحث عمن ينفذ,0,1,0,0.490023,0.509977
باذن اله مانزيد نشري الخرده تاعهم,1,0,0,0.514389,0.485611
كل واحد عند مخ يفكر بيه كل واحد مسؤول على نفسه اللي حاب يموت في سبيل المالي اانيجر يموت كما قال رويشد,0,1,0,0.482731,0.517269
بيتران,0,1,0,0.485882,0.514118
كي نتي كي هوه في زوج زيدين فضلامه,1,0,0,0.507091,0.492909
هاد وين كنت نتفرج في inception روعه,0,1,0,0.494497,0.505503
نسيت ميسي رونالدو,0,1,0,0.477142,0.522858
يا خماج يا زيطوط الكلب يا ديوث كفاك نميمه فتنه حسابك عسير اله,1,0,0,0.521791,0.478209
ختك حبيبي,1,0,0,0.500782,0.499218
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,0,0,0.512968,0.487032
تحيا الجيش الوطني الشعبي قاهر الخونه والعملاء العصي لمن عاصي تحيا شنقريحه يعطيكم طريحه ياخونه,1,0,0,0.50966,0.49034
صباح الخير من سطيف العالي,0,1,0,0.49062,0.50938
فريت اومات بلبيض نييك مك,1,0,0,0.509166,0.490834
شعب مزال يخمام كرشو,1,0,0,0.505496,0.494504
لقحاب عادو يعطو رايهم سيادهم,1,0,0,0.517211,0.482789
nta frii glit,1,0,0,0.507577,0.492423
اخي هذا موقع حقيقيه او ماذا انا قتلك راني سيريوا,0,1,0,0.482148,0.517852
هدرتو غير على الحوايج لي قاعدين يغالاو نسيتو ما هدرتوش على لي ديما يرخس 😁,0,1,0,0.499204,0.500796
علاه اومليط خبز مثلا تفوه يا,1,0,0,0.522824,0.477176
انا نعبد ربي مش مغني,0,1,0,0.497758,0.502242
الجام تاعي كبيره عليك يا طحان 💩,1,0,0,0.519205,0.480795
dz ادخل لبلادك اههضر كيما كان العربي بن مهيدي ما تتخباش كي القحبه تاع البورديل عند سيادك يا الرخيس تاع الشمه,1,0,0,0.513444,0.486556
مالا حبسو حتى نتوما من تقديس ربراب 😕 بسبابكم درتونا التشتيت على باقي المطالب,1,0,0,0.517746,0.482254
kayna,0,1,0,0.470818,0.529182
بالبركه تستهل خير,0,1,0,0.495399,0.504601
كولي الخبيز وسكتي,1,0,0,0.506379,0.493621
frites omelette bel baydhjus orange ta3 tchina,0,1,0,0.496662,0.503338
كلنا عندنا ذره مكعب داخلنا,1,0,0,0.508537,0.491463
انتوما لي راكو تسبو من كلا الطرفين حمير التهريب يخدموه المعلمين القياده من كلا الطرفين يا لحمير احد يدخل الزطله لدزاير احد يدخل الكاشيات للمغرب هدم بيوت الناس هذا عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض التي تقع على الحدود ملك لمجاهد كان يهرب السلاح وقت الثوره حتى المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير والله خطاتكم دزاير الله يا المجاعه غي لا حكمتكم انعلو الشيطان خطيكم من السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي على التراب يا محمر المهم تحيا المساكين بغا مغاربه ولا جزايرين,1,0,0,0.512352,0.487648
خم الذنوب لي راك تدي فيهم يا وليد القحبه,1,0,0,0.51169,0.48831
li ysiporti tajnat ou csc hdouk mhalbin 🤣,1,0,0,0.507241,0.492759
راك ترحي الماء,1,0,0,0.512954,0.487046
مكاش مكعبات كيما نتوما ههخخ,1,0,0,0.504659,0.495341
wach d5l crb dok ana wa9il ani ntnaq l3l,1,0,0,0.518542,0.481458
بصح بالامس لقريب كنتي دوري بيه وتشيتيلو هذي مدرتيلوش بيبا واليوم واش صرا زعمه مخلاكش مونك,1,0,0,0.503674,0.496326
kelba,1,0,0,0.50061,0.49939
صحا عليك امير دبلوم ان شاء الله يكون فال خير عليك مزيد من التعريه للنظام بدون رحمه,1,0,0,0.517062,0.482938
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,0,0,0.51509,0.48491
يا سبي جسدت واقع قهويين او مكعبات او قطيع او نورمي او غاملين او وات ذا فاك صوره واحده,1,0,0,0.527394,0.472606
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,0,0,0.507173,0.492827
كذاب,1,0,0,0.500076,0.499924
مملكه ماروكو,0,1,0,0.499701,0.500299
حتى فالخيال مكانش💁,0,1,0,0.488785,0.511215
هادي لباج تعي وناسها صح يعيو يعرفو دين لعقيله,1,0,0,0.506612,0.493388
ارفع راسك فانت جزائري 💪,0,1,0,0.495893,0.504107
والله لو بقيتي في دارك خيرا لك حتى وصلت بك هذه المعصيه للسب والشتم حتى وان كنت على حق فلا بد من الستر والحفظ ان كنت ابنت عائله لكن لن تنتظري من الدوله شيء في اشفاء الغليل يا عزيزتي سمحيلي على كل حال,1,0,0,0.515302,0.484698
tfoo,1,0,0,0.509728,0.490272
لاشكر علي واجب,0,1,0,0.498353,0.501647
قالي ماكاش ديسبونيبل,0,1,0,0.491509,0.508491
تحليل لا اروع استاذنا الفاضل العربي زيتوت قاهر كبرانات فرنسا,0,1,0,0.468845,0.531155
نيك مك يا النقش نحكمك نرضعولك,1,0,0,0.518456,0.481544
لديد روعه,0,1,0,0.490181,0.509819
المشكل مشي فيهم عفوا فيهن المشكل اللي يتبعوهم لانو كون مشي الغامل التافه اللي يتبعهم كون ماشفناهم ما سمعنا بيهم قاله خصنا رئيس ياو ارتقوا فالقاع يشهد ازدحاما رهيبا,1,0,0,0.5088,0.4912
فريت اولامت ومعاها بيض مغلي اين الخلل في الموضوع 🙄,0,1,0,0.499337,0.500663
على اساس هاد الحياه راك عايشها يا ادمين لوكان تروح تعطي ماشي خير باين من هدرتك نتا ذراري لوكان جيت كبير تسوفري على الخدمه ماتهدرش هكداا,1,0,0,0.510585,0.489415
الشعب ما عادش يتكل على الحكومه الداعمه للفساد وراح يبني بلاده تحيه لاهل جيجل,1,0,0,0.502592,0.497408
قستهاش,0,1,0,0.484501,0.515499
الامور اصبحت جهويه مقيته غير وليد القحبه نتاع ربراب الي اخلص اكثر من الجميع يا حمير فرنسا في تيزي وزو حاشا القبائل الاحرار نحن نتكلم عن نطف ديغول القذره,1,0,0,0.519242,0.480758
من وعد وفي للاسف رئيس كادب,1,0,0,0.508609,0.491391
هذا كافي قليط شبعه الدبوز التخمارتي,1,0,0,0.505918,0.494082
❤💚 mouloudia,0,1,0,0.48708,0.51292
روحي ادي حكايتك وروحي تلعبي بعيد تعرف مرت ابا سفيان مرت ابا سفيان هي هند وهند دخل في الاسلام ونتي ادخلي الاسلام ممبعد اهدري يا خانزه,1,0,0,0.505429,0.494571
جيب اختك للحراك يكالوها,1,0,0,0.51306,0.486939
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,0,0,0.527548,0.472452
ديرو العيب ترجعوها السماح نيك السماح,1,0,0,0.503985,0.496015
اتصلت بيه قالي سلعتك خرجه وانت معني,0,1,0,0.491216,0.508784
ربي يحفظك استاذ يرحم امك الهم اسكنها فسيح جنانك,1,0,0,0.501345,0.498655
هدوك عصابات الجنرالات الصوص مشي امن هدوك قوم لوط,1,0,0,0.504511,0.495489
نيفو السادسه ابتداءي جاي حمار كيما انت تنعتلي واش اندير ياحمار ياخاين عرضك او مديتو روح احكي حكايتك لزيطوط,1,0,0,0.503556,0.496444
اكبر قحبا وبنت حرام هيا هدي تنيك لويسكي وتحرض فشعب وتجي تعطي علينا ان منعندي روحي تخدمي لباس,1,0,0,0.519513,0.480487
كل ماقلتيه على الحثاله المازدا قليل عليه الشرفاء من ابناء الوطن بعرفونه ويعرفون بانه ماجور,1,0,0,0.514234,0.485766
الموهبه ياجريده الخزي والعار هد موهبه الزني والعهر والفجور,1,0,0,0.511755,0.488245
ربي يهدي,0,1,0,0.489913,0.510087
على حساب هدرتك على مولوديه توجور سور دارولك بونت في فيراج سود,1,0,0,0.501968,0.498032
في سبيل التذكير فان ربراب قام باستوراد الحديد المشع من اكرانيا حيث بعد حادثه تشرنوبيل النوويه قامت اكرانيا بدفع اموال من اجل التخلص من الحديد المشع ربراب قام باحضاره بيعه للجزائريين هذا ما يفسر الارتفاع الكبير في عدد المصابين بالامراض السرطانيه كذلك الكثير من الامراض التي لم يستطع الاطباء تشخيصها نسال المولى عز جل ان يعاملك بعدله,1,0,0,0.501918,0.498082
حتشون يمااك,1,0,0,0.507806,0.492194
حريه تعبير رانا في بلاد الديمقراطيه لا لا هو حر ونحن كجزائريين نستقبل الناس المحترمين ولي يحبونا من,0,1,0,0.497664,0.502336
عرفتها تكمل كما هك داروها لبارح فالبندا لتحت نتاع نشره عرفتها بلي يستوهم باه يديروش مظاهره عصابه بمعنى لكلمه,1,0,0,0.51078,0.48922
الاخرار لو كنت بالفعل حر لكنت تناضل من الداخل,1,0,0,0.505539,0.494462
نكرهو ومانتبعوش بصح مانقبل حتا كلمه كلبه كيما هادي,1,0,0,0.509597,0.490403
مبروك وديما عقابهم ولاد الحركه الكلاب,1,0,0,0.509647,0.490353
هذا العبد كان يدعي في كعبه لبوتفليقه ودك مع يسعد ربراب وغدوا معرف معامن,1,0,0,0.509467,0.490533
بالله عليكم هل يستحق ربراب الدفاع عليه وكل هذا التهريج حتى ملال شرفطها كاتشوب بنعناع والله سماطه شركه ولديها محامين ومحاسبين ويحاسب باسم القانون راه في التحقيق راه قادر على روحو نترك العداله اذا مادار حتى حاجه راه برئ من التهم البلاد ونديرو راينا تحيا الجزائر,1,0,0,0.512787,0.487213
جيس كوبو الامام ✌️ 🎩,0,1,0,0.494659,0.505341
اولاد الزواوله تتفكرهم هاذ البلاد غير في الدمير,1,0,0,0.530528,0.469472
اذا الشعب يوما اراد الحقيقيهلابد ان لا تسمع لمخنث مثل المازدا,1,0,0,0.511589,0.488411
كونيناف سويسري,0,1,0,0.499609,0.500391
الصحفي غسل هذا الحيوانات يلبسو وما علبالهمش واش يقودو تفوو الله يلعنكم,1,0,0,0.51221,0.48779
الادمين ملحد باين علابيها ماعلابالوش بلي الناس يعبدو ربي,1,0,0,0.509145,0.490855
الازمه عالميه وحنا رانا لمخيرين ونتا واش قودك وشكون شكالك,1,0,0,0.526415,0.473585
لي عندو الفوطو تع ترمتو يبعتهالي,1,0,0,0.515099,0.484901
زيد جماعه,0,1,0,0.48749,0.512511
زيد معاها قايد صالح شنقريحه تجي شابه,0,1,0,0.497752,0.502248
بون مفروغ بلي كعبه بروتي بصح الكارثه الكبيره لي راهم يتبعو الزيطوط علاش يا الاحرار علاش,1,0,0,0.505021,0.494979
لماذا التضامن مع ربراب عدم التضامن مع حداد سؤال بريئ 😏,0,1,0,0.499316,0.500684
ما ديرش mca مع هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,1,0,0.498385,0.501615
وي كاينا,0,1,0,0.49602,0.50398
ربي يحفظك اخي العربي سلامي الي كل الاحرار الجزائر لا للانتخابات مع العصابات يجب ان تدهب حكومه الخردا القايد الفايح ولاحاسين الرونجاس,1,0,0,0.502192,0.497808
عندو الحق موالف ياكل فريت اوملات بالرخس يا محاينك الدموع طاحو الضحك عجبني سكت شويه زبلها كي بالبيض,1,0,0,0.510911,0.489089
انت اكبر مستفيد ربراب وشيات كبير,1,0,0,0.500466,0.499534
هاذي لخامجه عندها طفله معا قسنطيني يسميوها اناس,1,0,0,0.503272,0.496728
طر يا المازدا,1,0,0,0.50673,0.49327
روحي تلعبي يا الصحفيه منيش نتقدها نتقدك نتي لي عندك اسلوب كلام تعرفيش تهدري ظياف تاعك,1,0,0,0.504645,0.495355
مانسيتش اله تربحكوم,1,0,0,0.51083,0.48917
امشي نيك انت ولاخرار انتاعك,1,0,0,0.517449,0.482552
هادو تراميهم ما رحموهاش يرحمو باباهم,1,0,0,0.50705,0.49295
عندو حكطي تاع راك تعرف بلا منقولها,1,0,0,0.514703,0.485297
ربي يحفظك استاذنا اله يعطيك تمني انت اروع استاذ ربي يوفقك حياتك شاء اله اصحاب الجنه امك اله يرحمها ويغفر ☝✨,1,0,0,0.517789,0.482211
عذبكم السيد يتمنيك ماشي نيتو ضركم ضركم علابالي كيما علابالكم,1,0,0,0.509925,0.490075
نيك مك يا وليد القحبه,1,0,0,0.507114,0.492886
مكاش مكعبات كيما نتوما هخ,1,0,0,0.505392,0.494608
حي الله الحمار,1,0,0,0.521139,0.478861
رابي يحفظك ويسترك من عبله نشالله,0,1,0,0.499521,0.500479
يجب رفع شعارات رافضه لخروج الجيش الساحل,0,1,0,0.490938,0.509062
بو كلبون,1,0,0,0.515203,0.484797
القايد راه يصفي حسابو مع القبايل حداد ربراب اويحي باي وين راهم السعيد او طحكوت طليبه شكيب خليفه شعب لي يجي يحشيلو,1,0,0,0.504901,0.495099
زيد اكشفهم انت ديمقراطي,0,1,0,0.491096,0.508904
وجوه الشر مالقيتو ماتهدرو راعي مسءول راعيته والي حاب تدخل النار ربي يسهل علاه تهدرو مواضع فضح,1,0,0,0.500491,0.499509
الاءمه خرج فيهم الدجال لاتبعوه,1,0,0,0.510007,0.489993
لعنكم الله اتحدث عنك فقط امثالك ايضا,1,0,0,0.522038,0.477962
nik ymak si tmurth l9bayel 😡,1,0,0,0.50925,0.49075
ماشاء اله تعليقات تليق بك ايها الرويبضه يا زنديق,1,0,0,0.507784,0.492216
مانيش من متابعي هذو لي هدرت عليهم حتى لباج تاعك دايرها طريق مي من منشوراتك باين عليك كعب كبير,1,0,0,0.506777,0.493223
الشعب يستقيل,0,1,0,0.476288,0.523712
يافرطاس ياخامج,1,0,0,0.508425,0.491575
اتكلم نفسي,0,1,0,0.497187,0.502813
🐸 ختك,1,0,0,0.520637,0.479363
روح نكمك روح 🤓,1,0,0,0.520261,0.479739
مام انت كيمي هوا علاش غاضك,1,0,0,0.511406,0.488594
اعلا واش تحوسو ربراب شغل اله الجزاءر ملزمش يتحاسب قلتو بوفوار اساسان ام يتحاسبو غع,1,0,0,0.502944,0.497056
مابقيلكش قاوي المخنز,1,0,0,0.513911,0.486089
قدور الهايشه مزال يحوس يتصور المير,1,0,0,0.503986,0.496014
من كان يعبد ربراب فربراب انتهى ولكن الجزائر الدوله قائمه للابد,1,0,0,0.51329,0.48671
هخ تراميك,1,0,0,0.503707,0.496293
ياخي شعب ياخي تستنا منعرف واش حطبه يعبدها باش ينصر الاسلام,1,0,0,0.509999,0.490001
كان رح ينكحنا بلكورونا,1,0,0,0.513489,0.486511
تخيا تبون عيب تهم الشرطه الشرطه انضف منك,1,0,0,0.502336,0.497664
خلاط,0,1,0,0.490372,0.509628
ان حبيت الكبيوتر,0,1,0,0.491478,0.508522
احكينا الشاب عراس,0,1,0,0.497821,0.502179
هل لديكم وكيل في ولايه تيارت,0,1,0,0.494832,0.505168
القبائل يمثلهم العقيد عميروش وليس ربراب يا عباد الاشخاص,1,0,0,0.500863,0.499137
علبانا بيها وانت على واش تحوس,1,0,0,0.501549,0.498451
roh nik hachoun yemmak ya admin ida nta radjel,1,0,0,0.515621,0.484379
وي,0,1,0,0.48934,0.51066
مازدا ونتي هوندا,1,0,0,0.511694,0.488306
عبيد المولوخيه راهم يطيحولوا صح انتم عبيد يا تبي,1,0,0,0.5068,0.4932
🤣واله ديري مزيه,0,1,0,0.490737,0.509263
زعمه العرب كامل يصلو كامل كيفكيف يزي بلا تمنيك,1,0,0,0.505108,0.494892
القبائل خوتنا ❤️,0,1,0,0.483595,0.516405
واش طبق واش اطباق,0,1,0,0.496036,0.503964
روح نيك امك غير بارح وانت تبيع فل مخديرات في تخمارت وليوم تلعبها ضد النضام,1,0,0,0.510959,0.489041
يهديك ربي سمير,0,1,0,0.487462,0.512538
لعنه اله عليهم,1,0,0,0.513232,0.486768
وليت داعيه يا وجه الشر كنت تنادي بتقاتل وضرك شيء غريب,1,0,0,0.507208,0.492792
الجزائر الجديده نحو الاسوا طبعا,0,1,0,0.496252,0.503748
الله يبارك قبايل رجاله,0,1,0,0.497541,0.502459
انت جاي دورك ماتقلقش ياشيطان,1,0,0,0.511467,0.488533
roih a9tel rouhak bach tgi thdar 3la syarb,1,0,0,0.507126,0.492874
🤣tedi la coupe du monde,0,1,0,0.479552,0.520448
والرئيس الكلب لي رجع عاصمه فلسطين القدس لاسرائيل,1,0,0,0.514783,0.485217
روح نيك امك بارح وانت تبيع فل مخديرات تخمارت وليوم تلعبها النضام,1,0,0,0.50893,0.49107
يا جدك الحمار ينطق يسمع استحمارك يقول اعد بحمار,1,0,0,0.505461,0.494539
يابردت يضهرلي المشكل الوكيل نتاعكم سطيف السي تومي سطور لاخاطر كي رحتلو الول لقيت علاقه عطاني ريبونس نتاع معلم,0,1,0,0.491341,0.508659
احباا كيميه تعرق طغاات في الكمنتار 😂,1,0,0,0.506081,0.49392
متقدرش تكتبها عربيه,0,1,0,0.498683,0.501317
رجال يكسبو ومنقش يحسبو دزير عندها وميخصهاش,1,0,0,0.505711,0.494289
بطاقه جرجه عندي عامومزال موصلتنيش,0,1,0,0.49112,0.50888
وانتا سليل اولاد لقحاب الي خلاتهم 🇫🇷,1,0,0,0.515038,0.484961
دوك الصلاه تتمنيكو بيها,1,0,0,0.516977,0.483023
نسرق الفرماج كنت صغيره امشي قودي يا كرفه خساره الكاسكيطه لي راسك ولعلام لي مورا ظهرك يا,1,0,0,0.511788,0.488212
نتي انسانه فاشله باتم معني الكلمه,1,0,0,0.515565,0.484435
ربي معاك وحنا معاك ناجحه وتبقي ناجحه كيما يقولو طاح يحط روحو تزرزحدمتي متالقهوين تكوني نكونو معاك,1,0,0,0.513377,0.486623
الله ينتقم منهم,1,0,0,0.511556,0.488444
نتوما تاني ركم مركزين رقبته,0,1,0,0.497211,0.502789
حتى لو كان ربراب فاسد وافسد من سعيد والعصابه علينا احترام سنه ولا يجب جره الى الحراش بتلك الطريقه المشينه وقنوات الزيقو تطبل,1,0,0,0.512755,0.487245
ربي يحفظك يا استاذ شكرا وجزاك الله خيرا ورحم الله امك واسكنها فسيح جنانه,1,0,0,0.516005,0.483995
رساله جزاءري يدخل القناه صاحبها مغربي الذي يتكلم فيديو مغربي حذاري وليد قحبه,1,0,0,0.50299,0.49701
مرحبا بيك وقت,0,1,0,0.489062,0.510938
هذا واش تعرف غير مرسي مرسي جمله كي الناس معرفتش تهدرها 🙆🏻‍♂️ جاي تتقوعر علينا بديبلوم لخرا خذا,1,0,0,0.507319,0.492681
خارج ختك كيفاه,1,0,0,0.514139,0.485861
حنا ما فوطينا ما شكمنا رسمولنا امازيغيه نتا نايض على صوروك فاليتيمه مع تور كي لبهيمه تفوطي لا زوفوك فورصي😌,1,0,0,0.511225,0.488775
خرجنا من اجل البلد ليس من اجل الشهريه ربراب لي دار يخلص يتحاسبو فاع قبايل عرب شاويه بني مزاب عودو الى رشدكم ضعو مصلحه البلاد قبل مصالحكم ليس على هذا ما بدا الحراك خرج الشعب يوم فيفري قوتنا في وحدتنا لا تدعو العصابه تفرقكم الحراك بريئ من الخبزيست,1,0,0,0.509845,0.490155
خلي نبداو بربراب وحداد اويحي مبعد نزيدو الباقي,1,0,0,0.501875,0.498125
tsma nta mhlb ykhi ka3ba 🖕,1,0,0,0.516511,0.483489
عندي شحال مطيحتش الفايسبوك بصح نوض انيك وجهك,1,0,0,0.514822,0.485178
كلام,0,1,0,0.495198,0.504802
احشمي على روحك راكي كبيره يا المعزه,1,0,0,0.502041,0.497959
العسل ارواح شوف هاذ المخلوقه راهي نتاع ماكلهفي رمضان تهبلنا نبلوكوها,0,1,0,0.497652,0.502348
تحيا الشعب الجزائري الحر الفحل,0,1,0,0.498566,0.501434
بوصبع الله لا يرفد عليه,1,0,0,0.521965,0.478035
عاادي فرنسي في بلاده وين المشكل,0,1,0,0.493837,0.506163
والله نت عايش في فخانس راك غاي الاها في روحك حنا رانا غاي,1,0,0,0.528055,0.471945
قاعك مدرتش فيه الخير وجاي تحوس على الاحرار,1,0,0,0.507639,0.492361
سينيالت ومدرت والو 🤣,1,0,0,0.505857,0.494143
اله مسوخه وعندها كاريزما ديال الباترونا الي تقود امير اشرف منك انت لقيطه واتحداك تعطيني اسم ابوك وامك بالدليل,1,0,0,0.522053,0.477947
وفضح الخليج يدعم الارهاب,0,1,0,0.489833,0.510167
نعبدو ربي,0,1,0,0.484608,0.515392
تنبيه يوجد دعاء اسمه دعاء الزلازل فاتقوا اله تبتدعوا,0,1,0,0.482084,0.517916
اله يحشمك جايح قاعدين يتقعدوا بيك حساب الدين العب العب برك يا جويح,1,0,0,0.513931,0.486069
نعم يا ساده المنتخب الجزائري لكره اليد عندو لاعب يدبر خطا بدائي وهو مشي بالكره اين انت يا شهبور اين انت يا بودرالي اين انت يا سلاحجي,0,1,0,0.494829,0.505171
ملكه ماروكو,0,1,0,0.499995,0.500005
اقسم باله لانتم اراذل الناس تمثلون القبايل عبيد ربراب,1,0,0,0.512292,0.487708
بلبيض,0,1,0,0.490559,0.509441
هي صحيح رزقهم على الله بصح بنادم يخمم شويه كي تجيب اولاد ومتقدرش توفرلهم ظروف معيشيه غي خليهم داخل خصيتك😂,1,0,0,0.506508,0.493492
جميعهم اله كاذبه القاسم المشترك,1,0,0,0.514938,0.485062
رضا كونيناف سويسري ايسعد ربراب فرنسي سعيد بوتفليقه مغربي,0,1,0,0.484428,0.515572
اتمنا اله يموت الموعد,1,0,0,0.504866,0.495134
طبون ختك,1,0,0,0.509937,0.490063
لعنك الله الى يوم الدين ياعميل بريطانيا,1,0,0,0.510086,0.489914
لاكوست تعمل شهريه باباك,1,0,0,0.503504,0.496496
راك عايش كنف فرنسا يا وحد الزعبوط خاين الوطن,1,0,0,0.525215,0.474785
كلب انشاء اله ياكلك,1,0,0,0.515836,0.484164
السوسه المدسوسه هادي تخدم ضد البلاد,1,0,0,0.50255,0.49745
هل هذا خاص بالمنطقه الصناعيه سطيف,0,1,0,0.499066,0.500934
ياك كنت معاه ودرتي فيديوا معاه نهار حكموه لبوليس وطلفوه دك بديتوا دوروا على بعضاكم ياوحد الحركى,1,0,0,0.501255,0.498745
انا مانيش فاهم كيفاه تبعوا هاذ ال بغ الح ما تاع ديزاد قالك عندو شهاده صحفي ومعترف بها في الاتحاد الاوروبي حتى وان سلمنا جدلا ان الامر حقيقه فيقوا ايها المب رد عون كيف حصل عليها الم يتحصل عليها من رن سا المج رم العد وه الاولى للجزائر يين هنا تفهم كل شيء وتدرك تمام الادراك ان امير ديزاد عم يل لديهم وهو مجرد بي دق عندهم يضربون به امننا وامتنا لن ترضى عنك اليهود والنصارى حتى تتبع ملتهم فيق يا اب ريق,1,0,0,0.50018,0.49982
ربي يحفضك شيخ اله يرحم امك,1,0,0,0.511323,0.488677
دام بوصبع دين وطن موجود ارض الشهداء الشرفاء اقسم باله البلد يتحر الهم بوصبع يتوب ربي ويخرج عباده العباد عباده رب العباد,1,0,0,0.502072,0.497928
12 دقيقه منتخب لم يسجل لا هدف هدي الحصيله تاريخيا مازال ماسراش,0,1,0,0.491087,0.508913
ربي يحفظك اخي العربي سلامي الاحرار الجزاءر لانتخابات العصابات يجب تدهب حكومه الخردا القايد الفايح ولاحاسين الرونجاس,1,0,0,0.501179,0.498821
بروبلام والله ما فيهم بروبلام فالشعب لي يتفرجهم ومطلعلهم شانهم بلي vu لوكان حتى واحد مراه سمع بهم منعرفوش قاع فيقوره كيما هدو,1,0,0,0.522951,0.477049
ماسقسيتش قصت اختك الامازيغ,1,0,0,0.50325,0.49675
واش درولك في مازدا ياحمير درولك حاجه تتحرك قيق يابريق,1,0,0,0.512894,0.487106
هذي سبيسيال لجامعه فريت اوملات بالبيض,0,1,0,0.497404,0.502596
نعلم انك حثاله من نفس السلاله سلاله زيط زيط زيط زيط,1,0,0,0.506976,0.493024
الكلب المسمى سعيد بوتفليقه يجب اعتقاله من طرف الشعب القصاص منه,1,0,0,0.505498,0.494502
نطالب باسترجاع بوتفليقه والعصابه 😂 رغم الفساد وكانت مستوره معانا,0,1,0,0.494758,0.505242
واش دخلك ياوليدافرانسا,1,0,0,0.516233,0.483767
كذاب وهوما طماعين امنيوه وخرجو مالحراك العام قيو,1,0,0,0.517503,0.482497
